2026-04-02 16:50:51 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:50:51 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:50:53 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:50:53 [ERROR] __main__ - Attempt 2 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:50:55 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:50:55 [ERROR] __main__ - Attempt 3 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:50:57 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:50:57 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:53:03 [INFO] __main__ - Loaded 150 questions
2026-04-02 16:53:28 [INFO] __main__ - Image saved to /home/uucloud/code/Database_Query_System_Training/output_store/ask-graph/udbmbbdw.png
2026-04-02 16:53:42 [INFO] __main__ - Image saved to /home/uucloud/code/Database_Query_System_Training/output_store/ask-graph/odwprzap.png
2026-04-02 16:53:52 [INFO] __main__ - Image saved to /home/uucloud/code/Database_Query_System_Training/output_store/ask-graph/boatgarb.png
2026-04-02 16:54:10 [INFO] __main__ - Image saved to /home/uucloud/code/Database_Query_System_Training/output_store/ask-graph/nmavwkzr.png
2026-04-02 16:54:43 [ERROR] __main__ - HTTP request failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-04-02 16:54:43 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
